"Comment","Designator","Footprint","LCSC Part #"
"100nF","CB1,CB2,CB7,CB4","C_0402_1005Metric","C1525"
"4.7uF","CB3,CB8","C_0402_1005Metric","C23733"
"10n","CB5","C_0402_1005Metric","C15195"
"1uF","CB6","C_0402_1005Metric","C52923"
"100nF","CBT1","C_0402_1005Metric","C1525"
"100nF","CRST1","C_0402_1005Metric","C1525"
"4.7nF","CSH1","C_0805_2012Metric","C1744"
"1u","CSI1","C_0805_2012Metric","C28323"
"1u","CSO1","C_0805_2012Metric","C28323"
"D","D_0,D_1,D_2,D_3,D_4,D_5,D_6,D_7,D_8,D_9,D_10,D_11,D_12,D_13,D_14,D_16,D_17,D_18,D_19,D_20,D_21,D_22,D_23,D_24,D_25,D_26,D_27,D_28,D_29,D_30,D_31,D_32,D_33,D_34,D_35,D_36,D_37,D_38,D_39,D_40,D_41,D_42,D_43,D_44,D_45,D_46,D_47,D_48,D_49,D_50,D_51,D_52,D_53,D_54,D_55,D_56,D_57,D_58,D_59,D_60,D_61,D_62,D_63,D_64,D_65,D_66,D_67,D_15","D_SOD-323F","C81598"
"P6SMB6.8CA","DF1","D_SMB","C78395"
"SM4007","DS1","D_MELF","C64898"
"1.5A trip PTC","F1","Fuse_1812_4532Metric","C84140"
"AO3400A","QLED1","SOT-23","C20917"
"680R","R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R31,R30,R29,R28,R27,R26,R25,R24,R23,R22,R21,R20,R19,R18,R17,R16,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R67,R66,R65,R64,R63,R62,R61,R60,R59,R58","R_0603_1608Metric","C23228"
"10k","RBT1","R_0805_2012Metric","C17414"
"5.1k","RCC2,RCC1","R_0805_2012Metric","C27834"
"R_Small","RGND1","R_1206_3216Metric","C127703"
"100R","RLED1","R_0402_1005Metric","C25076"
"1M","RSH1","R_0805_2012Metric","C17514"
"1M","RSI1","C_0805_2012Metric","C17514"
"SW_Push","SWBT1","SW_SPST_SKQG_WithStem","C318884"
"SW_Push","SWRST1","SW_SPST_SKQG_WithStem","C318884"
"SRV05-4","U1","SOT-23-6","C85364"
"STM32F072CBTx","U2","LQFP-48_7x7mm_P0.5mm","C81720"
"AMS1117-5.0","U3","SOT-223-3_TabPin2","C6187"
