Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
CB1,100nF,C_0402_1005Metric,328.231500,-98.107500,0.000000,bottom
CB2,100nF,C_0402_1005Metric,313.055000,-101.219000,180.000000,bottom
CB3,4.7uF,C_0402_1005Metric,313.055000,-102.362000,180.000000,bottom
CB4,100nF,C_0402_1005Metric,327.660000,-102.235000,90.000000,bottom
CB5,10n,C_0402_1005Metric,324.685000,-107.207250,0.000000,bottom
CB6,1uF,C_0402_1005Metric,324.716000,-106.045000,0.000000,bottom
CB7,100nF,C_0402_1005Metric,317.246000,-93.599000,225.000000,bottom
CB8,4.7uF,C_0402_1005Metric,318.008000,-94.361000,225.000000,bottom
CBT1,100nF,C_0402_1005Metric,343.535000,-105.283000,0.000000,bottom
CRST1,100nF,C_0402_1005Metric,341.122000,-105.283000,180.000000,bottom
CSH1,4.7nF,C_0805_2012Metric,297.053000,-51.562000,270.000000,bottom
CSI1,1u,C_0805_2012Metric,324.104000,-90.297000,90.000000,bottom
CSO1,1u,C_0805_2012Metric,324.104000,-85.598000,270.000000,bottom
DF1,P6SMB6.8CA,D_SMB,320.675000,-89.027000,90.000000,bottom
DS1,SM4007,D_MELF,326.898000,-88.900000,90.000000,bottom
D_0,D,D_SOD-323F,32.512000,-52.070000,0.000000,bottom
D_1,D,D_SOD-323F,51.562000,-52.070000,0.000000,bottom
D_2,D,D_SOD-323F,70.612000,-52.070000,0.000000,bottom
D_3,D,D_SOD-323F,89.662000,-52.070000,0.000000,bottom
D_4,D,D_SOD-323F,108.712000,-52.070000,0.000000,bottom
D_5,D,D_SOD-323F,127.762000,-52.070000,0.000000,bottom
D_6,D,D_SOD-323F,146.812000,-52.070000,0.000000,bottom
D_7,D,D_SOD-323F,165.862000,-52.070000,0.000000,bottom
D_8,D,D_SOD-323F,184.912000,-52.070000,0.000000,bottom
D_9,D,D_SOD-323F,203.962000,-52.070000,0.000000,bottom
D_10,D,D_SOD-323F,223.012000,-52.070000,0.000000,bottom
